job_id,it_id,it_slug,en_id,en_slug,source_hash,status,error,input_tokens,output_tokens,cost_usd,timestamp
batch-20260418-rest,071f81ec-da06-4a40-9b57-90061364f23d,noris,,noris,7121def714a6b428,error,HTTP Error 400: Bad Request,1970,1079,0.005892,2026-04-18T19:07:23.905809
batch-20260418-rest,076265cd-ba33-4f9c-ab7c-a4a78f7f87d4,one-more-jump,,one-more-jump,648878a18d835143,error,HTTP Error 400: Bad Request,1252,538,0.003154,2026-04-18T19:07:34.262889
batch-20260418-rest,0e07ca3e-787d-40c6-9c14-995e568c4293,fragile,,fragile,cdc2bb11c0760626,error,HTTP Error 400: Bad Request,1199,507,0.002987,2026-04-18T19:07:39.125561
batch-20260418-rest,14c294e5-5f26-43c0-be99-c0619b51f200,un-capo-atipico-per-larca,,an-atypical-leader-for-larche,3a55c3d3deffb7ef,error,HTTP Error 400: Bad Request,2064,1196,0.006435,2026-04-18T19:07:43.040926
batch-20260418-rest,16542cca-35c1-403c-8902-378f3d4bcbda,willow-vrba,,willow-vrba,866a106189014cb0,error,HTTP Error 400: Bad Request,1138,457,0.002738,2026-04-18T19:07:55.024363
batch-20260418-rest,195eacec-a4e0-4ce6-8f39-84e6a8780472,giacomo,,giacomo,8c60c267e92a3c13,error,HTTP Error 400: Bad Request,3300,2170,0.01132,2026-04-18T19:07:58.735884
batch-20260418-rest,1a9844ba-df65-48be-b95b-92d62c8c01cd,viale-di-valle-aurelia,,viale-di-valle-aurelia,f5b3bec7b42fd344,error,HTTP Error 400: Bad Request,2009,1148,0.006199,2026-04-18T19:08:30.924087
batch-20260418-rest,1c4d26c7-f5a3-4de2-84c3-efa2a58e3512,gossip,,gossip,3b69ebf516e72a5c,error,HTTP Error 400: Bad Request,1264,610,0.003451,2026-04-18T19:08:42.815569
batch-20260418-rest,1e6bde7e-707c-49b7-908f-456a389e08e9,indice-articoli-per-argomenti,,,314ead60c13dce04,error,Quality gate fallito: HTML: tag count: 473 orig vs 303 trad,,,,2026-04-18T19:08:48.189395
batch-20260418-rest,2d4819ed-e4b8-4e34-8cd7-61a3927c1e09,aspetto-ci-accorgessimo,,and-he-waited-for-us-to-notice-him,4f75f9e13f77fa7a,error,HTTP Error 400: Bad Request,2271,1281,0.006941,2026-04-18T19:13:42.329868
batch-20260418-rest,3259a211-088b-4543-8446-0a025329681c,marco-cavallo,,marco-cavallo,d7d82b476712f034,error,HTTP Error 400: Bad Request,1262,562,0.003258,2026-04-18T19:13:57.035907
batch-20260418-rest,3cfd8961-a2d6-4f1d-9e8c-ae0b18970ca8,viviana,,viviana,0004b188059c5fa2,error,HTTP Error 400: Bad Request,2271,1317,0.007085,2026-04-18T19:14:01.685213
batch-20260418-rest,48afff7f-a478-42f6-a747-dbaf07fc7f06,daniela,,daniela,9ca8cc553415185b,error,HTTP Error 400: Bad Request,969,317,0.002043,2026-04-18T19:14:15.699950
batch-20260418-rest,4b87b105-6440-4cf8-a60e-4a82e602f641,maria-teresa-di-calcutta-dedicato-ai-bambini,,mother-teresa-of-calcutta-dedicated-to-children-and-to-all-of-us,44bdbb919dd70e03,error,HTTP Error 400: Bad Request,3132,2282,0.011634,2026-04-18T19:14:18.947316
batch-20260418-rest,4d3303dd-3d02-4df9-a01d-f6c6cdb2ba30,insegnante-di-lettere-canale-della-vita,,,77d01f9b89b2d18e,error,Quality gate fallito: HTML: tag count: 33 orig vs 17 trad,,,,2026-04-18T19:14:39.526024
batch-20260418-rest,4dc9f072-c5c3-458e-a48e-9095c1de7f5a,philippine,,philippine,6a238969c4336ff9,error,HTTP Error 400: Bad Request,1294,613,0.003487,2026-04-18T19:16:34.918590
